país,data início,data fim,dias,semana,total mortes reportadas,total mortes reportadas por covid,populacao,mortes_covid_100000hab,total mortes reportadas 100000hab
Mexico,2014-12-29,2015-01-04,7,1,15101,0,130262220,0,"11,59277034"
Mexico,2015-01-05,2015-01-11,7,2,15449,0,130262220,0,"11,85992378"
Mexico,2015-01-12,2015-01-18,7,3,14820,0,130262220,0,"11,37705161"
Mexico,2015-01-19,2015-01-25,7,4,14172,0,130262220,0,"10,87959348"
Mexico,2015-01-26,2015-02-01,7,5,13628,0,130262220,0,"10,46197432"
Mexico,2015-02-02,2015-02-08,7,6,13914,0,130262220,0,"10,68153145"
Mexico,2015-02-09,2015-02-15,7,7,13550,0,130262220,0,"10,4020951"
Mexico,2015-02-16,2015-02-22,7,8,13799,0,130262220,0,"10,59324799"
Mexico,2015-02-23,2015-03-01,7,9,13054,0,130262220,0,"10,02132468"
Mexico,2015-03-02,2015-03-08,7,10,12979,0,130262220,0,"9,963748507"
Mexico,2015-03-09,2015-03-15,7,11,12498,0,130262220,0,"9,594493323"
Mexico,2015-03-16,2015-03-22,7,12,13133,0,130262220,0,"10,08197158"
Mexico,2015-03-23,2015-03-29,7,13,12066,0,130262220,0,"9,262854571"
Mexico,2015-03-30,2015-04-05,7,14,12477,0,130262220,0,"9,578371995"
Mexico,2015-04-06,2015-04-12,7,15,12202,0,130262220,0,"9,367259363"
Mexico,2015-04-13,2015-04-19,7,16,11796,0,130262220,0,"9,055580352"
Mexico,2015-04-20,2015-04-26,7,17,12403,0,130262220,0,"9,521563505"
Mexico,2015-04-27,2015-05-03,7,18,11763,0,130262220,0,"9,030246836"
Mexico,2015-05-04,2015-05-10,7,19,12059,0,130262220,0,"9,257480795"
Mexico,2015-05-11,2015-05-17,7,20,11732,0,130262220,0,"9,006448685"
Mexico,2015-05-18,2015-05-24,7,21,11856,0,130262220,0,"9,101641289"
Mexico,2015-05-25,2015-05-31,7,22,11608,0,130262220,0,"8,91125608"
Mexico,2015-06-01,2015-06-07,7,23,11876,0,130262220,0,"9,116994935"
Mexico,2015-06-08,2015-06-14,7,24,11709,0,130262220,0,"8,988791992"
Mexico,2015-06-15,2015-06-21,7,25,11510,0,130262220,0,"8,836023215"
Mexico,2015-06-22,2015-06-28,7,26,11571,0,130262220,0,"8,882851835"
Mexico,2015-06-29,2015-07-05,7,27,11583,0,130262220,0,"8,892064023"
Mexico,2015-07-06,2015-07-12,7,28,11538,0,130262220,0,"8,85751832"
Mexico,2015-07-13,2015-07-19,7,29,12003,0,130262220,0,"9,214490587"
Mexico,2015-07-20,2015-07-26,7,30,11947,0,130262220,0,"9,171500378"
Mexico,2015-07-27,2015-08-02,7,31,12083,0,130262220,0,"9,27590517"
Mexico,2015-08-03,2015-08-09,7,32,12237,0,130262220,0,"9,394128244"
