país,data início,data fim,semana,total mortes reportadas,total mortes reportadas por covid,mortes por covid100000hab,mortes por covid 100000hab acumulado,estimativa do total de mortes,excesso de mortes,excesso de mortes por 100000hab,excesso de mortes por 100000hab acumulado
Mexico,2020-03-16,2020-03-22,12,13187,3,"0,002303046885","0,002303046885","13468,6","-281,6","-0,2161793343","-0,2161793343"
Mexico,2020-03-23,2020-03-29,13,13698,17,"0,01305059901","0,0153536459","13175,6","522,4","0,4010372309","0,1848578966"
Mexico,2020-03-30,2020-04-05,14,13533,74,"0,05680848983","0,07216213573","13256,6","276,4","0,2121873863","0,397045283"
Mexico,2020-04-06,2020-04-12,15,14030,202,"0,1550718236","0,2272339593",12888,1142,"0,8766931809","1,273738464"
Mexico,2020-04-13,2020-04-19,16,14993,390,"0,299396095","0,5266300544",12754,2239,"1,718840658","2,992579122"
Mexico,2020-04-20,2020-04-26,17,17068,665,"0,5105087262","1,037138781","12924,4","4143,6","3,180968358","6,17354748"
Mexico,2020-04-27,2020-05-03,18,18811,803,"0,6164488829","1,653587663",12848,5963,"4,577689525","10,751237"
Mexico,2020-05-04,2020-05-10,19,20622,1311,"1,006431489","2,660019152","12796,2","7825,8","6,007728104","16,75896511"
Mexico,2020-05-11,2020-05-17,20,22313,1712,"1,314272089","3,974291241","12867,6","9445,4","7,251066349","24,01003146"
Mexico,2020-05-18,2020-05-24,21,23231,2217,"1,701951648","5,676242889",13065,10166,"7,804258211","31,81428967"
Mexico,2020-05-25,2020-05-31,22,23167,2536,"1,9468423","7,623085189",12669,10498,"8,059128733","39,8734184"
Mexico,2020-06-01,2020-06-07,23,24121,3769,"2,89339457","10,51647976","12609,4","11511,6","8,837251507","48,71066991"
Mexico,2020-06-08,2020-06-14,24,24719,3442,"2,642362459","13,15884222","12455,2","12263,8","9,414702129","58,12537204"
Mexico,2020-06-15,2020-06-21,25,24945,4684,"3,59582387","16,75466609",12655,12290,"9,434815405","67,56018744"
Mexico,2020-06-22,2020-06-28,26,24718,4823,"3,702531709","20,4571978","12446,2","12271,8","9,420843588","76,98103103"
Mexico,2020-06-29,2020-07-05,27,25495,3991,"3,063820039","23,52101784",12573,12922,"9,919990616","86,90102165"
Mexico,2020-07-06,2020-07-12,28,26446,4367,"3,352468582","26,87348642","12572,2","13873,8","10,65067062","97,55169227"
Mexico,2020-07-13,2020-07-19,29,26446,4178,"3,207376628","30,08086305","12688,2","13757,8","10,56161948","108,1133117"
Mexico,2020-07-20,2020-07-26,30,25733,4496,"3,451499598","33,53236265","12744,4","12988,6","9,971118257","118,08443"
Mexico,2020-07-27,2020-08-02,31,24795,4066,"3,121396211","36,65375886","12819,8","11975,2","9,193149019","127,277579"
Mexico,2020-08-03,2020-08-09,32,23817,4552,"3,494489807","40,14824866","12543,6","11273,4","8,654389584","135,9319686"
Mexico,2020-08-10,2020-08-16,33,22666,4459,"3,423095353","43,57134402",12603,10063,"7,725186934","143,6571555"
Mexico,2020-08-17,2020-08-23,34,21725,3723,"2,858081184","46,4294252","12428,6","9296,4","7,136681687","150,7938372"
